Record ID,Current Institution    List the person's current institution. Select the name of the insitutation from the drop down (list is in alphabetical order). 
667,"University of California, San Diego"
668,High Specialty Regional Hospital of Bajío
669,Riverside Medical Center
670,Ohio State University
671,Eastern Virginia Medical School
672,University of Wisconsin-Madison
673,Houston Methodist Hospital
674,University of Pittsburgh
675,University of Michigan
676,"University of California, San Diego"
677,East Carolina University
678,McGill University
679,Virginia Commonwealth University
680,McGill University
681,Clemson University
682,University of Pittsburgh
683,Houston Methodist Hospital
684,"University of California, San Diego"
685,Hackensack Meridian Health - Jersey Shore University Medical Center
686,East Carolina University
687,Stanford University
688,Santa Clara Homestead Medical Center
689,Indiana University Bloomington
690,Indiana University Bloomington
692,University of Wisconsin-Stout
693,University of Wisconsin-Madison
694,Carthage College
695,University of Florida
696,University of Wisconsin-Madison
697,University of Wisconsin-Madison
698,University of Wisconsin-La Crosse
699,Winona State
700,University of Wisconsin-Madison
701,University of Wisconsin-Madison
702,Stanford University
703,"University of California, Berkeley"
704,Stanford University
705,University of Pennsylvania
706,Mount Holyoke College
707,Stanford University
708,Emory University
709,Stanford University
710,"University of California, Santa Cruz"
711,Rice University
712,"University of California, Berkeley"
713,Duke University
714,University of Wisconsin-Madison
715,University of Wisconsin-Madison
716,University of Wisconsin-Madison
717,University of Wisconsin-Madison
718,University of Wisconsin-Madison
719,Columbia University
720,University at Buffalo
721,Columbia University
722,Columbia University
723,Columbia University
724,Columbia University
725,Medical College of Wisconsin
726,University of Michigan
727,University of Wisconsin-Madison
728,Duke University
729,University of Wisconsin-Madison
730,Let's Talk UTI
731,University of Alabama at Birmingham
732,Duke University
733,University of Wisconsin-Madison
734,Baylor College of Medicine
735,Private
736,GSK
737,University of Texas Health Science Center at Houston
738,"University of California, Berkeley"
739,University of Michigan
740,Private
741,Duke University
743,University of Wisconsin-Madison
744,University of Michigan
745,Boston University
746,Mayo Clinic
747,University of Minnesota at Rochester
748,Mayo Clinic
749,Columbia University
750,Stanford University
751,Stanford University
752,Stanford University
753,Columbia University
754,NYU Langone Health
755,Boston University
756,University of Texas at Dallas
757,Duke University
758,Labcorp Drug Development
759,University of Wisconsin-Madison
760,Exact Sciences
761,Vanderbilt University
762,Emory University
763,University of Texas at El Paso
764,University of Arizona
765,Vanderbilt University
766,Mayo Clinic
767,National Kidney Foundation
768,Indiana University Bloomington
769,Emory University
770,University of Alabama at Birmingham
771,University of Mississippi
772,University of Texas Southwestern
773,Harvard University
774,Yale University
775,Mayo Clinic
776,University of Puerto Rico
777,University of Texas Southwestern
778,Trinity University
779,University of Texas Health Science Center at San Antonio
780,Texas Tech University
781,Yale University
782,Eastern Virginia Medical School
783,University of Alabama at Birmingham
784,MedServ
785,Purdue University
786,Brigham Young University
787,Mayo Clinic
788,Austin College
789,Tennessee State University
790,Emory University
791,Mayo Clinic
792,University of Evansville
793,Trinity University
794,Mayo Clinic
795,Boston University
796,University of Texas Southwestern
797,University of Alabama at Birmingham
798,Miles College
799,University of Texas Southwestern
800,Columbia University
801,University of Iowa
802,Wake Forest University
803,University of Texas Southwestern
804,University of Arizona
805,University of Virginia
806,University of Pikeville
807,East Central University
808,Harvard University
809,Georgia Institute of Technology
810,University of Texas Southwestern
811,Yale University
812,Howard University
813,Emory University
814,University of Notre Dame
815,Mayo Clinic
816,University of Alabama at Birmingham
817,Mercer University
818,University of Texas Health Science Center at San Antonio
819,University of Arizona
820,Mayo Clinic
821,"University of California, Davis"
822,Emory University
823,University of Michigan
824,Mayo Clinic
825,Mayo Clinic
826,University of Alabama at Birmingham
827,Mayo Clinic
828,"University of California, Los Angeles"
829,University of Virginia
830,Mayo Clinic
831,Wake Forest University
832,BF Suma Pharmaceuticals Inc.
833,Wake Forest University
834,Mayo Clinic
835,University of South Carolina
836,University of Virginia
837,Yale University
838,"University of California, Los Angeles"
839,University of Texas Health Science Center at San Antonio
840,Brown University
841,University of Pittsburgh
842,Columbia University
844,Mayo Clinic
845,Harvard University
846,Emory University
847,Purdue University
848,Wake Forest University
849,Brown University
850,University of British Columbia
851,Emory University
852,University of Virginia
853,Siena College
854,Vanderbilt University
855,Emory University
856,University of Notre Dame
857,University of Alabama at Birmingham
858,University of Texas Southwestern
859,Mayo Clinic
860,Yale University
861,Mayo Clinic
862,University of Minnesota
863,Harvard University
864,Mayo Clinic
865,Mayo Clinic
866,Yale University
867,Columbia University
868,University of Virginia
869,Harvard University
870,University of Alabama at Birmingham
871,Vanderbilt University
872,University of Arizona
873,Emory University
874,Wake Forest University
875,Mayo Clinic
876,Austin College
877,Vanderbilt University
878,Cornell University
879,University of Texas at Dallas
880,Eastern Virginia Medical School
881,Emory University
882,Harvard University
883,Yale University
884,University of Texas Health Science Center at San Antonio
885,Stanford University
886,University of Arizona
887,University of Texas Southwestern
888,Wake Forest University
889,University of Wisconsin-Madison
890,University of Wisconsin-Madison
891,University of Wisconsin-Madison
892,University of Wisconsin-Madison
893,University of Wisconsin-Madison
894,Syner-Med
895,University of Wisconsin-Madison
896,University of Texas Southwestern
897,University of Wisconsin-Madison
898,University of Wisconsin-Madison
899,University at Buffalo
900,"University of California, San Diego"
901,"University of California, San Diego"
902,Mayo Clinic
903,Indiana University Bloomington
904,Children's Hospital of Philadelphia
905,Private
906,Private
907,Private
908,Private
909,Private
910,Private
911,Private
